NTA Experiment Summary File
Created with NTA 3.2 Dev Build 3.2.16

[Experiment Details]
Software Version,Unknown
Experiment Name,PBS_LPS_.nano
Sample Name,""
Operator Name,""
Time Captured,
Pre-treatment,""
Diluent,""
365.5,0,0,27200,101,7,149,623,341,61329,0,651042,31110,251825,133455,274607,0,0,0,0,0,186657,27364,501944,120042,485203,744,0,221540,63365,97,1019994,43,10574,61,0,113812,82,268274,130785,143451,5,0,1366,0,0,0,200804,2,250,7426,98714,27794,
366.5,0,0,23640,73,6,106,496,361,63239,0,612097,31227,237219,129054,263264,0,0,0,0,0,176828,28850,511560,136267,499662,896,0,198621,56114,163,1002695,43,10176,50,0,116094,75,271283,110796,153220,4,0,973,0,0,0,185778,3,208,9198,96607,27280,
367.5,0,0,20443,53,5,74,395,386,65240,0,571377,31418,223286,124982,252616,0,0,0,0,0,167587,30492,521060,154019,513314,1087,0,176135,49471,271,973877,42,9806,40,0,118210,70,273513,92923,163199,3,0,685,0,0,0,169833,3,172,11294,94348,26643,
368.5,0,0,17591,38,5,51,314,414,67333,0,529654,31682,210030,121220,242631,0,0,0,0,0,158910,32302,530388,173317,526030,1329,0,154545,43423,445,934629,42,9460,32,0,120142,65,274932,77141,173314,2,0,478,0,0,0,153353,3,142,13750,91983,25908,
369.5,0,0,15062,27,4,35,250,448,69517,0,487653,32022,197444,117752,233278,0,0,0,0,0,150774,34294,539480,194154,537683,1636,0,134213,37950,722,886374,42,9138,26,0,121871,61,275518,63380,183483,2,0,329,0,0,0,136724,3,117,16598,89561,25108,
370.5,0,0,12835,19,4,24,199,487,71791,0,446030,32436,185518,114564,224527,0,0,0,0,0,143154,36480,548270,216498,548153,2026,0,115403,33026,1155,830785,42,8836,20,0,123382,57,275259,51530,193611,1,0,225,0,0,0,120315,4,96,19868,87133,24278,
371.5,0,0,10885,13,4,16,158,533,74153,0,405365,32926,174234,111640,216345,0,0,0,0,0,136028,38875,556686,240287,557326,2521,0,98281,28621,1822,769688,43,8554,16,0,124662,54,274153,41454,203595,0,0,151,0,0,0,104463,4,78,23586,84744,23458,
372.5,0,0,9188,9,3,11,126,586,76600,0,366147,33493,163573,108967,208703,0,0,0,0,0,129371,41495,564653,265432,565100,3153,0,82929,24702,2832,704955,43,8289,13,0,125697,52,272211,32992,213325,0,0,101,0,0,0,89461,4,63,27772,82441,22681,
373.5,0,0,7719,6,3,7,100,648,79129,0,328774,34139,153512,106531,201572,0,0,0,0,0,123160,44354,572092,291808,571385,3956,0,69355,21234,4336,638418,44,8040,10,0,126479,50,269450,25975,222682,0,0,67,0,0,0,75542,5,51,32440,80261,21980,
374.5,0,0,6456,4,3,5,80,721,81736,0,293551,34865,144025,104319,194922,0,0,0,0,0,117372,47470,578919,319263,576102,4980,0,57510,18181,6535,571777,45,7806,8,0,127000,48,265902,20228,231544,0,0,44,0,0,0,62876,5,41,37594,78239,21377,
375.5,0,0,5375,3,2,3,64,805,84415,0,260693,35674,135086,102320,188725,0,0,0,0,0,111983,50858,585047,347611,579190,6282,0,47299,15507,9693,506544,46,7585,6,0,127255,46,261603,15579,239786,0,0,28,0,0,0,51569,6,33,43228,76399,20886,
376.5,0,0,4456,2,2,2,51,904,87161,0,230334,36567,126666,100523,182955,0,0,0,0,0,106973,54537,590386,376639,580605,7937,0,38598,13176,14141,443988,47,7376,5,0,127243,45,256602,11867,247284,0,0,18,0,0,0,41666,7,27,49328,74762,20511,
377.5,0,0,3677,1,2,1,41,1019,89967,0,202533,37547,118737,98917,177585,0,0,0,0,0,102320,58522,594843,406106,580321,10034,0,31263,11154,20284,385119,49,7179,4,0,126963,44,250952,8939,253915,0,0,11,0,0,0,33154,8,21,55868,73342,20246,
378.5,0,0,3022,0,2,0,33,1153,92823,0,177288,38616,111273,97492,172590,0,0,0,0,0,98004,62831,598324,435749,578327,12685,0,25142,9408,28596,330670,51,6992,3,0,126417,44,244714,6658,259564,0,0,7,0,0,0,25974,9,17,62809,72146,20080,
379.5,0,0,2473,0,1,0,26,1309,95720,0,154541,39777,104244,96239,167947,0,0,0,0,0,94006,67480,600733,465287,574636,16022,0,20083,7907,39607,281119,53,6813,2,0,125611,43,237951,4903,264124,0,0,4,0,0,0,20029,10,13,70104,71176,19995,
380.5,0,0,2015,0,1,0,21,1492,98648,0,134194,41032,97626,95149,163632,0,0,0,0,0,90308,72484,601976,494424,569276,20207,0,15939,6623,53879,236701,55,6644,2,0,124552,43,230732,3571,267501,0,0,3,0,0,0,15199,11,11,77692,70433,19973,
381.5,0,0,1636,0,1,0,17,1705,101593,0,116117,42385,91391,94213,159623,0,0,0,0,0,86891,77857,601961,522859,562295,25426,0,12574,5528,71960,197449,57,6482,1,0,123247,43,223128,2571,269615,0,0,2,0,0,0,11348,12,8,85505,69910,19996,
382.5,0,0,1322,0,0,0,14,1955,104543,0,100159,43838,85517,93424,155898,0,0,0,0,0,83741,83612,600597,550288,553757,31898,0,9862,4599,94332,163225,60,6327,0,0,121707,44,215210,1830,270404,0,0,0,0,0,0,8333,14,7,93464,69600,20051,
383.5,0,0,1065,0,0,0,11,2246,107483,0,86153,45394,79979,92774,152436,0,0,0,0,0,80840,89758,597800,576413,543743,39868,0,7694,3814,121340,133762,63,6178,0,0,119945,44,207048,1288,269826,0,0,0,0,0,0,6018,16,5,101483,69490,20126,
384.5,0,0,854,0,0,0,9,2587,110396,0,73926,47056,74756,92255,149218,0,0,0,0,0,78175,96305,593495,600946,532349,49611,0,5971,3152,153110,108703,67,6035,0,0,117972,45,198711,896,267862,0,0,0,0,0,0,4273,18,4,109472,69565,20217,
385.5,0,0,682,0,0,0,7,2986,113265,0,63305,48826,69828,91861,146224,0,0,0,0,0,75732,103257,587613,623619,519682,61422,0,4612,2598,189475,87630,71,5897,0,0,115802,46,190265,616,264515,0,0,0,0,0,0,2983,21,3,117335,69804,20321,
386.5,0,0,543,0,0,0,6,3451,116072,0,54120,50707,65176,91585,143436,0,0,0,0,0,73497,110615,580100,644185,505863,75609,0,3547,2134,229904,70102,75,5764,0,0,113451,48,181774,419,259812,0,0,0,0,0,0,2046,24,2,124978,70181,20439,
387.5,0,0,431,0,0,0,5,3995,118796,0,46211,52702,60783,91421,140834,0,0,0,0,0,71460,118376,570913,662428,491018,92480,0,2716,1748,273461,55670,80,5635,0,0,110933,50,173296,282,253803,0,0,0,0,0,0,1380,28,2,132303,70665,20573,
388.5,0,0,341,0,0,0,4,4629,121418,0,39424,54812,56634,91361,138403,0,0,0,0,0,69609,126534,560028,678162,475282,112325,0,2072,1428,318795,43902,85,5510,0,0,108264,52,164885,187,246563,0,0,0,0,0,0,914,32,1,139219,71217,20722,
389.5,0,0,268,0,0,0,3,5368,123915,0,33619,57039,52712,91399,136123,0,0,0,0,0,67934,135076,547439,691240,458793,135393,0,1574,1163,364180,34395,90,5388,0,0,105458,54,156590,123,238185,0,0,0,0,0,0,595,37,1,145637,71796,20882,
390.5,0,0,211,0,0,0,3,6228,126265,0,28669,59384,49007,91529,133978,0,0,0,0,0,66425,143985,533159,701551,441689,161864,0,1192,945,407604,26780,97,5269,0,0,102532,57,148454,80,228783,0,0,0,0,0,0,380,42,0,151478,72353,21043,
391.5,0,0,165,0,0,0,2,7228,128447,0,24457,61849,45505,91746,131952,0,0,0,0,0,65073,153237,517226,709025,424111,191820,0,900,766,446902,20730,103,5152,0,0,99500,61,140515,51,218487,0,0,0,0,0,0,239,49,0,156667,72839,21192,
392.5,0,0,128,0,0,0,2,8388,130438,0,20881,64433,42195,92041,130028,0,0,0,0,0,63870,162801,499701,713633,406196,225210,0,678,619,479934,15961,111,5038,0,0,96376,65,132805,33,207440,0,0,0,0,0,0,147,56,0,161143,73207,21311,
393.5,0,0,100,0,0,0,2,9732,132214,0,17850,67135,39070,92409,128190,0,0,0,0,0,62809,172643,480670,715385,388074,261820,0,509,499,504771,12227,119,4926,0,0,93176,70,125351,21,195793,0,0,0,0,0,0,89,65,0,164854,73411,21381,
394.5,0,0,77,0,0,0,1,11284,133755,0,15285,69956,36118,92843,126421,0,0,0,0,0,61883,182719,460245,714330,369874,301245,0,381,401,519883,9324,128,4816,0,0,89913,75,118174,13,183704,0,0,0,0,0,0,53,75,0,167760,73415,21388,
395.5,0,0,60,0,0,0,1,13073,135039,0,13116,72892,33334,93337,124707,0,0,0,0,0,61085,192979,438561,710550,351712,342868,0,285,322,524299,7080,138,4708,0,0,86599,82,111290,8,171329,0,0,0,0,0,0,31,87,0,169835,73188,21323,
396.5,0,0,46,0,0,0,0,15129,136046,0,11284,75941,30709,93883,123031,0,0,0,0,0,60409,203369,415779,704161,333701,385853,0,212,258,517705,5356,149,4601,0,0,83248,89,104713,5,158827,0,0,0,0,0,0,18,101,0,171064,72714,21185,
397.5,0,0,35,0,0,0,0,17485,136757,0,9736,79099,28237,94475,121379,0,1,0,0,0,59850,213825,392083,695308,315939,429151,0,158,206,500484,4038,161,4495,0,0,79871,97,98448,3,146344,0,0,0,0,0,0,10,117,0,171444,71985,20982,
398.5,0,0,27,0,0,0,0,20176,137155,0,8428,82361,25912,95105,119735,0,2,0,0,0,59403,224281,367672,684161,298517,471529,0,117,164,473679,3036,174,4390,0,0,76479,107,92501,2,134022,0,0,0,0,0,0,6,136,0,170985,71005,20727,
399.5,0,0,21,0,0,0,0,23238,137226,0,7324,85722,23730,95765,118085,0,3,0,0,0,59063,234663,342766,670906,281514,511609,0,87,131,438887,2276,188,4286,0,0,73083,119,86872,1,121988,0,0,0,0,0,0,3,157,0,169710,69788,20437,
400.5,0,0,16,0,0,0,0,26709,136957,0,6391,89174,21684,96448,116415,0,4,0,0,0,58827,244895,317594,655750,264999,547940,0,64,104,398097,1703,203,4183,0,0,69693,132,81558,0,110355,0,0,0,0,0,0,2,183,0,167650,68355,20124,
401.5,0,0,12,0,0,0,0,30628,136339,0,5603,92709,19770,97146,114710,0,5,0,1,0,58689,254895,292390,638906,249030,579072,0,48,82,353503,1272,220,4081,0,0,66318,147,76555,0,99219,0,0,0,0,0,0,0,212,0,164846,66728,19797,
402.5,0,0,9,0,0,0,0,35032,135366,0,4936,96317,17983,97850,112959,0,8,0,1,0,58646,264580,267393,620595,233653,603651,0,35,65,307307,949,239,3980,0,0,62967,165,71855,0,88659,0,0,0,0,0,0,0,245,0,161349,64936,19454,
403.5,0,0,7,0,0,0,0,39957,134033,0,4372,99989,16318,98552,111147,0,11,0,2,0,58695,273866,242835,601041,218907,620512,0,26,51,261540,707,259,3879,0,0,59649,185,67449,0,78738,0,0,0,0,0,0,0,285,0,157214,63005,19086,
404.5,0,0,5,0,0,0,0,45438,132343,0,3894,103711,14772,99244,109265,0,15,0,2,0,58833,282669,218939,580465,204818,628767,0,19,40,217926,527,281,3778,0,0,56372,210,63328,0,69500,0,0,0,0,0,0,0,330,0,152505,60960,18680,
405.5,0,0,4,0,0,0,0,51504,130297,0,3490,107471,13338,99916,107300,0,21,0,3,0,59055,290905,195911,559083,191405,627881,0,14,32,177791,392,305,3678,0,0,53143,238,59480,0,60971,0,0,0,0,0,0,0,382,0,147287,58826,18218,
406.5,0,0,3,0,0,0,0,58178,127905,0,3147,111255,12014,100561,105243,0,29,0,4,0,59359,298493,173937,537103,178679,617721,0,10,25,142028,292,331,3579,0,0,49971,271,55894,0,53164,0,0,0,0,0,0,0,442,0,141630,56625,17690,
407.5,0,0,2,0,0,0,0,65475,125178,0,2858,115046,10793,101168,103086,0,39,0,6,0,59742,305358,153178,514724,166643,598580,0,8,20,111106,218,359,3480,0,0,46862,309,52556,0,46077,0,0,0,0,0,0,0,512,0,135605,54380,17088,
408.5,0,0,2,0,0,0,0,73401,122130,0,2613,118830,9672,101729,100823,0,53,0,8,0,60201,311429,133766,492128,155294,571164,0,6,15,85123,163,390,3382,0,0,43822,354,49455,0,39695,0,0,0,0,0,0,0,591,0,129283,52110,16416,
409.5,0,0,1,0,0,0,0,81950,118779,0,2406,122587,8645,102235,98446,0,70,0,10,0,60732,316641,115800,469486,144621,536549,0,4,12,63877,122,424,3284,0,0,40859,408,46576,0,33994,0,0,0,0,0,0,0,683,0,122735,49839,15683,
410.5,0,0,0,0,0,0,0,91100,115148,0,2233,126301,7707,102678,95954,0,94,0,14,0,61332,320939,99348,446954,134613,496109,0,3,9,46957,91,461,3187,0,0,37979,470,43909,0,28940,0,0,0,0,0,0,0,788,0,116029,47587,14910,
411.5,0,0,0,0,0,0,0,100816,111260,0,2089,129952,6854,103048,93343,0,123,0,19,0,61998,324277,84444,424670,125250,451416,0,2,7,33820,68,500,3091,0,0,35188,544,41439,0,24494,0,0,0,0,0,0,0,909,0,109232,45377,14120,
412.5,0,0,0,0,0,0,0,111043,107144,0,1969,133522,6081,103337,90613,0,161,0,25,0,62727,326617,71090,402757,116511,404138,0,2,6,23869,51,544,2995,0,0,32492,630,39154,0,20612,0,0,0,0,0,0,0,1047,0,102404,43231,13340,
413.5,0,0,0,0,0,0,0,121707,102829,0,1871,136989,5381,103537,87766,0,209,0,33,0,63514,327933,59258,381321,108373,355928,0,1,4,16510,39,590,2900,0,0,29895,733,37043,0,17247,0,0,0,0,0,0,0,1204,0,95604,41168,12597,
414.5,0,0,0,0,0,0,0,132716,98346,0,1794,140336,4751,103641,84806,0,269,0,44,0,64356,328211,48894,360453,100808,308324,0,0,3,11195,29,641,2805,0,0,27403,853,35095,0,14350,0,0,0,0,0,0,0,1383,0,88886,39208,11913,
415.5,0,0,0,0,0,0,0,143955,93727,0,1734,143542,4185,103641,81739,0,344,0,58,0,65249,327448,39923,340228,93791,262666,0,0,3,7443,22,696,2712,0,0,25021,996,33298,0,11875,0,0,0,0,0,0,0,1587,0,82298,37364,11304,
416.5,0,0,0,0,0,0,0,155291,89007,0,1691,146588,3679,103531,78573,0,436,0,76,0,66187,325652,32248,320706,87293,220036,0,0,2,4853,17,755,2619,0,0,22753,1165,31641,0,9773,0,0,0,0,0,0,0,1817,0,75881,35645,10779,
417.5,0,0,0,0,0,0,0,166571,84220,0,1663,149455,3227,103305,75316,0,547,0,100,0,67167,322843,25762,301936,81286,181229,0,0,2,3104,13,819,2527,0,0,20601,1364,30116,0,8001,0,0,0,0,0,0,0,2079,0,69674,34059,10338,
418.5,0,0,0,0,0,0,0,177626,79398,0,1650,152125,2825,102958,71982,0,682,0,131,0,68183,319052,20348,283951,75740,146744,0,0,1,1948,10,888,2436,0,0,18569,1599,28713,0,6516,0,0,0,0,0,0,0,2374,0,63707,32603,9973,
419.5,0,0,0,0,0,0,0,188274,74576,0,1652,154582,2469,102485,68582,0,844,0,172,0,69229,314320,15886,266777,70627,116802,0,0,0,1200,8,963,2347,0,0,16658,1877,27423,0,5281,0,0,0,0,0,0,0,2706,0,58007,31275,9674,
420.5,0,0,0,0,0,0,0,198323,69785,0,1668,156810,2154,101883,65132,0,1035,0,223,0,70299,308698,12256,250426,65921,91381,0,0,0,726,6,1043,2258,0,0,14871,2205,26238,0,4258,0,0,0,0,0,0,0,3079,0,52595,30065,9427,
421.5,0,0,0,0,0,0,0,207576,65055,0,1699,158795,1877,101149,61647,0,1259,0,289,0,71388,302245,9341,234903,61593,70268,0,0,0,431,5,1129,2171,0,0,13208,2592,25150,0,3417,0,0,0,0,0,0,0,3497,0,47485,28963,9218,
422.5,0,0,0,0,0,0,0,215839,60415,0,1746,160523,1633,100283,58145,0,1521,0,373,0,72488,295028,7031,220205,57618,53102,0,0,0,252,4,1222,2085,0,0,11668,3048,24153,0,2730,0,0,0,0,0,0,0,3964,0,42689,27955,9034,
423.5,0,0,0,0,0,0,0,222925,55891,0,1810,161985,1419,99282,54644,0,1821,0,479,0,73591,287119,5225,206321,53972,39438,0,0,0,144,3,1321,2001,0,0,10250,3586,23239,0,2171,0,0,0,0,0,0,0,4485,0,38211,27027,8863,
424.5,1,0,0,0,0,0,0,228659,51505,0,1893,163170,1233,98149,51161,0,2165,0,612,0,74691,278596,3833,193237,50630,28782,0,0,0,81,2,1427,1918,0,0,8952,4219,22403,0,1719,0,0,0,0,0,0,0,5064,0,34055,26163,8697,
425.5,1,0,0,0,0,0,0,232889,47279,0,1996,164073,1070,96883,47716,0,2552,0,777,0,75779,269539,2775,180933,47570,20642,0,0,0,45,2,1541,1836,0,0,7772,4961,21639,0,1356,0,0,0,0,0,0,0,5705,0,30217,25351,8530,
426.5,2,0,0,0,0,0,0,235490,43230,0,2121,164689,928,95489,44325,0,2985,0,982,0,76846,260031,1982,169384,44772,14547,0,0,0,25,1,1663,1756,0,0,6705,5832,20941,0,1065,0,0,0,0,0,0,0,6413,0,26693,24578,8356,
427.5,3,0,0,0,0,0,0,236368,39372,0,2274,165014,805,93968,41006,0,3465,0,1233,0,77885,250156,1397,158563,42216,10073,0,0,0,13,1,1793,1678,0,0,5746,6851,20306,0,833,0,0,0,0,0,0,0,7193,0,23474,23834,8170,
428.5,4,0,0,0,0,0,0,235467,35716,0,2456,165048,698,92327,37776,0,3990,0,1539,0,78885,239997,970,148441,39883,6854,0,0,0,7,0,1932,1602,0,0,4892,8041,19727,0,650,0,0,0,0,0,0,0,8049,0,20549,23110,7972,
429.5,5,0,0,0,0,0,0,232772,32272,0,2672,164794,606,90569,34651,0,4559,0,1909,0,79838,229634,665,138987,37756,4582,0,0,0,4,0,2080,1528,0,0,4136,9427,19201,0,505,0,0,0,0,0,0,0,8985,0,17907,22401,7759,
430.5,6,0,0,0,0,0,0,228310,29044,0,2929,164255,526,88703,31644,0,5168,0,2353,0,80734,219146,449,130170,35819,3010,0,0,0,2,0,2237,1455,0,0,3471,11037,18725,0,391,0,0,0,0,0,0,0,10005,0,15531,21702,7530,
431.5,9,0,0,0,0,0,0,222153,26035,0,3233,163437,458,86733,28767,0,5814,0,2882,0,81562,208608,298,121957,34059,1943,0,0,0,0,0,2404,1384,0,0,2891,12901,18294,0,302,0,0,0,0,0,0,0,11114,0,13407,21013,7287,
432.5,12,0,0,0,0,0,0,214411,23244,0,3593,162348,398,84670,26031,0,6489,0,3506,0,82315,198089,196,114316,32461,1233,0,0,0,0,0,2581,1315,0,0,2390,15053,17904,0,233,0,0,0,0,0,0,0,12313,0,11519,20332,7030,
433.5,16,0,0,0,0,0,0,205235,20669,0,4017,160998,347,82521,23445,0,7188,0,4236,0,82981,187654,126,107215,31013,768,0,0,0,0,0,2769,1249,0,0,1960,17530,17554,0,179,0,0,0,0,0,0,0,13606,0,9848,19663,6763,
434.5,21,0,0,0,0,0,0,194806,18307,0,4519,159398,303,80294,21015,0,7900,0,5083,0,83553,177362,80,100622,29704,471,0,0,0,0,0,2967,1184,0,0,1594,20368,17240,0,137,0,0,0,0,0,0,0,14994,0,8379,19006,6487,
435.5,28,0,0,0,0,0,0,183335,16149,0,5110,157562,265,78000,18745,0,8617,0,6055,0,84019,167266,50,94506,28525,283,0,0,0,0,0,3177,1121,0,0,1286,23608,16959,0,105,0,0,0,0,0,0,0,16479,0,7093,18367,6206,
436.5,37,0,0,0,0,0,0,171050,14189,0,5808,155503,233,75649,16637,0,9326,0,7162,0,84372,157412,31,88838,27464,168,0,0,0,0,0,3398,1061,0,0,1028,27291,16708,0,80,0,0,0,0,0,0,0,18060,0,5974,17750,5925,
437.5,48,0,0,0,0,0,0,158190,12418,0,6632,153238,205,73250,14693,0,10017,0,8409,0,84603,147841,19,83589,26515,97,0,0,0,0,0,3631,1002,0,0,815,31460,16485,0,61,0,0,0,0,0,0,0,19737,0,5006,17159,5647,
438.5,63,0,0,0,0,0,0,144997,10824,0,7604,150782,181,70814,12909,0,10678,0,9800,0,84705,138587,11,78731,25670,56,0,0,0,0,0,3875,946,0,0,640,36153,16288,0,47,0,0,0,0,0,0,0,21508,0,4173,16601,5378,
439.5,83,0,0,0,0,0,0,131708,9397,0,8750,148153,160,68350,11284,0,11296,0,11336,0,84670,129677,7,74238,24921,31,0,0,0,0,0,4132,891,0,0,498,41413,16114,0,35,0,0,0,0,0,0,0,23369,0,3461,16079,5121,
440.5,107,0,0,0,0,0,0,118546,8127,0,10100,145369,142,65869,9812,0,11860,0,13012,0,84492,121134,4,70086,24263,17,0,0,0,0,0,4401,839,0,0,383,47273,15961,0,27,0,0,0,0,0,0,0,25316,0,2855,15600,4882,
441.5,139,0,0,0,0,0,0,105715,7000,0,11688,142447,127,63380,8487,0,12358,0,14822,0,84166,112973,2,66250,23691,9,0,0,0,0,0,4683,789,0,0,293,53765,15826,0,20,0,0,0,0,0,0,0,27341,0,2342,15166,4665,
442.5,178,0,0,0,0,0,0,93392,6006,0,13554,139405,114,60894,7301,0,12781,0,16753,0,83688,105207,1,62710,23200,5,0,0,0,0,0,4977,741,0,0,221,60914,15708,0,16,0,0,0,0,0,0,0,29439,0,1911,14782,4474,
443.5,228,0,0,0,0,0,0,81726,5134,0,15741,136262,103,58418,6248,0,13119,0,18788,0,83054,97840,0,59443,22785,3,0,0,0,0,0,5285,695,0,0,165,68736,15604,0,12,0,0,0,0,0,0,0,31599,0,1550,14451,4313,
444.5,290,0,0,0,0,0,0,70834,4371,0,18298,133036,93,55963,5317,0,13365,0,20904,0,82263,90876,0,56432,22443,1,0,0,0,0,0,5604,651,0,0,122,77235,15513,0,9,0,0,0,0,0,0,0,33811,0,1251,14174,4184,
445.5,367,0,0,0,0,0,0,60802,3707,0,21277,129742,85,53535,4501,0,13516,0,23074,0,81314,84312,0,53657,22171,0,0,0,0,0,0,5937,609,0,0,89,86403,15431,0,7,0,0,0,0,0,0,0,36063,0,1003,13952,4091,
446.5,462,0,0,0,0,0,0,51682,3132,0,24735,126399,78,51143,3789,0,13567,0,25265,0,80207,78143,0,51102,21967,0,0,0,0,0,0,6282,569,0,0,65,96217,15358,0,5,0,0,0,0,0,0,0,38341,0,800,13786,4033,
447.5,578,0,0,0,0,0,0,43499,2636,0,28730,123023,72,48794,3172,0,13517,0,27442,0,78945,72362,0,48751,21829,0,0,0,0,0,0,6640,531,0,0,46,106637,15290,0,4,0,0,0,0,0,0,0,40630,0,634,13675,4013,
448.5,719,0,0,0,0,0,0,36248,2210,0,33323,119628,66,46493,2641,0,13369,0,29566,0,77531,66958,0,46591,21754,0,0,0,0,0,0,7010,495,0,0,33,117604,15226,0,3,0,0,0,0,0,0,0,42914,0,500,13618,4030,
449.5,890,0,0,0,0,0,0,29904,1846,0,38570,116230,62,44247,2186,0,13125,0,31596,0,75968,61919,0,44606,21742,0,0,0,0,0,0,7392,461,0,0,23,129040,15162,0,2,0,0,0,0,0,0,0,45176,0,392,13611,4081,
450.5,1095,0,0,0,0,0,0,24421,1537,0,44523,112840,58,42061,1799,0,12792,0,33490,0,74264,57230,0,42786,21791,0,0,0,0,0,0,7786,429,0,0,16,140844,15099,0,2,0,0,0,0,0,0,0,47397,0,305,13651,4166,
451.5,1340,0,0,0,0,0,0,19741,1274,0,51227,109473,55,39939,1473,0,12377,0,35207,0,72426,52877,0,41119,21902,0,0,0,0,0,0,8191,398,0,0,11,152898,15031,0,1,0,0,0,0,0,0,0,49558,0,236,13735,4281,
452.5,1629,0,0,0,0,0,0,15795,1053,0,58708,106140,52,37884,1199,0,11888,0,36709,0,70462,48844,0,39594,22075,0,0,0,0,0,0,8607,369,0,0,7,165061,14959,0,1,0,0,0,0,0,0,0,51641,0,182,13857,4422,
453.5,1969,0,0,0,0,0,0,12507,867,0,66977,102851,50,35900,970,0,11336,0,37959,0,68381,45114,0,38202,22309,0,0,0,0,0,0,9034,342,0,0,5,177174,14879,0,0,0,0,0,0,0,0,0,53625,0,139,14012,4585,
454.5,2367,0,0,0,0,0,0,9802,711,0,76017,99614,49,33989,781,0,10732,0,38928,0,66194,41669,0,36933,22605,0,0,0,0,0,0,9471,316,0,0,3,189063,14789,0,0,0,0,0,0,0,0,0,55492,0,105,14193,4766,
455.5,2828,0,0,0,0,0,0,7601,582,0,85777,96440,48,32152,625,0,10087,0,39591,0,63913,38494,0,35781,22964,0,0,0,0,0,0,9917,292,0,0,2,200540,14687,0,0,0,0,0,0,0,0,0,57223,0,79,14392,4959,
456.5,3359,0,0,0,0,0,0,5833,474,0,96172,93334,47,30391,497,0,9413,0,39933,0,61549,35572,0,34738,23388,0,0,0,0,0,0,10372,269,0,0,1,211410,14572,0,0,0,0,0,0,0,0,0,58798,0,60,14604,5160,
457.5,3965,0,0,0,0,0,0,4429,385,0,107071,90304,46,28707,394,0,8721,0,39943,0,59115,32885,0,33797,23878,0,0,0,0,0,0,10834,248,0,0,0,221473,14440,0,0,0,0,0,0,0,0,0,60202,0,44,14818,5363,
458.5,4654,0,0,0,0,0,0,3327,311,0,118296,87354,46,27098,310,0,8023,0,39621,0,56625,30419,0,32953,24437,0,0,0,0,0,0,11304,228,0,0,0,230532,14290,0,0,0,0,0,0,0,0,0,61419,0,33,15026,5562,
459.5,5430,0,0,0,0,0,0,2473,251,0,129622,84489,47,25566,242,0,7329,0,38975,0,54092,28157,0,32199,25065,0,0,0,0,0,0,11780,210,0,0,0,238397,14121,0,0,0,0,0,0,0,0,0,62433,0,24,15218,5753,
460.5,6299,0,0,0,0,0,0,1819,202,0,140778,81712,48,24109,188,0,6648,0,38021,0,51530,26085,0,31532,25766,0,0,0,0,0,0,12261,192,0,0,0,244894,13931,0,0,0,0,0,0,0,0,0,63234,0,18,15385,5928,
461.5,7263,0,0,0,0,0,0,1323,162,0,151454,79027,49,22727,146,0,5987,0,36782,0,48952,24188,0,30946,26542,0,0,0,0,0,0,12747,176,0,0,0,249870,13718,0,0,0,0,0,0,0,0,0,63812,0,13,15518,6081,
462.5,8326,0,0,0,0,0,0,952,129,0,161307,76435,50,21417,112,0,5355,0,35288,0,46372,22454,0,30438,27397,0,0,0,0,0,0,13236,161,0,0,0,253196,13481,0,0,0,0,0,0,0,0,0,64157,0,9,15605,6207,
463.5,9489,0,0,0,0,0,0,678,103,0,169983,73939,53,20178,86,0,4756,0,33573,0,43802,20870,0,30005,28334,0,0,0,0,0,0,13727,147,0,0,0,254777,13220,0,0,0,0,0,0,0,0,0,64266,0,7,15640,6300,
464.5,10751,0,0,0,0,0,0,477,82,0,177125,71538,55,19008,65,0,4194,0,31675,0,41256,19423,0,29643,29355,0,0,0,0,0,0,14220,135,0,0,0,254553,12934,0,0,0,0,0,0,0,0,0,64137,0,5,15613,6354,
465.5,12112,0,0,0,0,0,0,333,65,0,182404,69233,59,17905,49,0,3673,0,29637,0,38745,18103,0,29351,30465,0,0,0,0,0,0,14712,123,0,0,0,252504,12623,0,0,0,0,0,0,0,0,0,63768,0,3,15517,6363,
466.5,13567,0,0,0,0,0,0,229,51,0,185534,67023,63,16866,37,0,3195,0,27500,0,36279,16900,0,29125,31668,0,0,0,0,0,0,15203,112,0,0,0,248650,12286,0,0,0,0,0,0,0,0,0,63164,0,2,15349,6325,
467.5,15111,0,0,0,0,0,0,156,40,0,186298,64908,68,15890,28,0,2760,0,25306,0,33871,15803,0,28965,32967,0,0,0,0,0,0,15692,102,0,0,0,243051,11925,0,0,0,0,0,0,0,0,0,62329,0,2,15105,6237,
468.5,16737,0,0,0,0,0,0,105,32,0,184568,62887,74,14974,21,0,2368,0,23094,0,31528,14805,0,28868,34367,0,0,0,0,0,0,16177,92,0,0,0,235807,11541,0,0,0,0,0,0,0,0,0,61273,0,1,14786,6098,
469.5,18435,0,0,0,0,0,0,70,25,0,180317,60959,81,14114,15,0,2018,0,20901,0,29259,13896,0,28833,35872,0,0,0,0,0,0,16658,84,0,0,0,227055,11133,0,0,0,0,0,0,0,0,0,60006,0,0,14395,5910,
470.5,20194,0,0,0,0,0,0,46,19,0,173629,59121,90,13310,11,0,1708,0,18760,0,27072,13069,0,28861,37485,0,0,0,0,0,0,17132,76,0,0,0,216963,10705,0,0,0,0,0,0,0,0,0,58541,0,0,13936,5676,
